params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,expectancy,halted,max_dd,open_trades,profit_factor,trades,win_rate,selected
h2-s2-c2p5-wbase,2.5,2,2.0,base,-4.586748080189262,-0.12430894807085036,4.462439132118412,495673.3966286368,8.345386345941401,True,9.485204698892613,0,2.3768537580860762,31,41.935483870967744,False
h2-s2-c2p5-wrs_heavy,2.5,2,2.0,rs_heavy,-4.586748080189262,-0.12430894807085036,4.462439132118412,495673.3966286368,8.345386345941401,True,9.485204698892613,0,2.3768537580860762,31,41.935483870967744,False
h2-s2-c2p5-wcluster_heavy,2.5,2,2.0,cluster_heavy,-4.586748080189262,-0.12430894807085036,4.462439132118412,495673.3966286368,8.345386345941401,True,9.48520469889259,0,2.3768537580860762,31,41.935483870967744,False
h2-s2-c3-wbase,3.0,2,2.0,base,-4.767372950259929,-0.3049338181415173,4.462439132118412,489443.89420009364,9.020307877354998,True,9.280758902581198,0,2.345890821801523,32,43.75,False
h2-s2-c3-wrs_heavy,3.0,2,2.0,rs_heavy,-4.767372950259929,-0.3049338181415173,4.462439132118412,489443.89420009364,9.020307877354998,True,9.280758902581198,0,2.345890821801523,32,43.75,False
h2-s2-c3-wcluster_heavy,3.0,2,2.0,cluster_heavy,-4.767372950259929,-0.3049338181415173,4.462439132118412,489443.89420009364,9.020307877354998,True,9.280758902581198,0,2.345890821801523,32,43.75,False
h2-s2-c3p5-wbase,3.5,2,2.0,base,-3.5620168819077147,0.9004222502106973,4.462439132118412,532316.9101958672,17.134639556509352,True,8.445764176919452,0,4.090360318465442,26,53.84615384615385,False
h2-s2-c3p5-wrs_heavy,3.5,2,2.0,rs_heavy,-3.5620168819077147,0.9004222502106973,4.462439132118412,532316.9101958672,17.134639556509352,True,8.445764176919452,0,4.090360318465442,26,53.84615384615385,False
h2-s2-c3p5-wcluster_heavy,3.5,2,2.0,cluster_heavy,-3.5620168819077147,0.9004222502106973,4.462439132118412,532316.9101958672,17.134639556509352,True,8.445764176919452,0,4.090360318465442,26,53.84615384615385,False
h2-s2p5-c2p5-wbase,2.5,2,2.5,base,-4.508918742052259,-0.046479609933847144,4.462439132118412,498378.4934457658,10.019098898823177,True,9.229419887427916,0,2.6425806174342354,35,42.857142857142854,False
h2-s2p5-c2p5-wrs_heavy,2.5,2,2.5,rs_heavy,-4.508918742052259,-0.046479609933847144,4.462439132118412,498378.4934457658,10.019098898823177,True,9.229419887427916,0,2.6425806174342354,35,42.857142857142854,False
h2-s2p5-c2p5-wcluster_heavy,2.5,2,2.5,cluster_heavy,-4.508918742052259,-0.046479609933847144,4.462439132118412,498378.4934457658,10.019098898823177,True,9.229419887427916,0,2.6425806174342354,35,42.857142857142854,False
h2-s2p5-c3-wbase,3.0,2,2.5,base,-4.13096101742092,0.3314781146974921,4.462439132118412,511695.7229516402,16.02526192828685,True,9.192777260519797,0,3.709033724987945,30,50.0,False
h2-s2p5-c3-wrs_heavy,3.0,2,2.5,rs_heavy,-4.13096101742092,0.3314781146974921,4.462439132118412,511695.7229516402,16.02526192828685,True,9.192777260519797,0,3.709033724987945,30,50.0,False
h2-s2p5-c3-wcluster_heavy,3.0,2,2.5,cluster_heavy,-4.13096101742092,0.3314781146974921,4.462439132118412,511695.7229516402,16.02526192828685,True,9.192777260519797,0,3.709033724987945,30,50.0,False
h2-s2p5-c3p5-wbase,3.5,2,2.5,base,-2.8433008981083585,1.6191382340100535,4.462439132118412,559381.1695904207,25.484342719982443,True,8.492363782686333,0,5.626368548250091,25,56.00000000000001,False
h2-s2p5-c3p5-wrs_heavy,3.5,2,2.5,rs_heavy,-2.8794905204544197,1.5829486116639924,4.462439132118412,557990.7564333729,25.31776374529967,True,8.401793773863233,0,5.596128187031441,25,56.00000000000001,False
h2-s2p5-c3p5-wcluster_heavy,3.5,2,2.5,cluster_heavy,-2.8433008981083585,1.6191382340100535,4.462439132118412,559381.1695904207,25.484342719982443,True,8.492363782686333,0,5.626368548250091,25,56.00000000000001,False
h2-s3-c2p5-wbase,2.5,2,3.0,base,-4.895172696414852,-0.43273356429643917,4.462439132118412,485076.89124565944,2.1726699472182287,True,9.571223173550074,0,1.2981671547909386,35,34.285714285714285,False
h2-s3-c2p5-wrs_heavy,2.5,2,3.0,rs_heavy,-4.9014751125369465,-0.439035980418534,4.462439132118412,484862.4001680659,1.3091196043269904,True,9.602285212712898,0,1.1745244360207123,34,32.35294117647059,False
h2-s3-c2p5-wcluster_heavy,2.5,2,3.0,cluster_heavy,-4.895172696414852,-0.43273356429643917,4.462439132118412,485076.8912456595,2.1726699472182287,True,9.571223173550074,0,1.2981671547909386,35,34.285714285714285,False
h2-s3-c3-wbase,3.0,2,3.0,base,-4.298458298774355,0.16398083334405733,4.462439132118412,505756.8639263669,11.444107729190087,True,9.850283101333096,0,2.7913878747360146,32,46.875,False
h2-s3-c3-wrs_heavy,3.0,2,3.0,rs_heavy,-4.298458298774355,0.16398083334405733,4.462439132118412,505756.8639263669,11.444107729190087,True,9.850283101333096,0,2.7913878747360146,32,46.875,False
h2-s3-c3-wcluster_heavy,3.0,2,3.0,cluster_heavy,-4.298458298774355,0.16398083334405733,4.462439132118412,505756.8639263669,11.444107729190087,True,9.850283101333096,0,2.7913878747360146,32,46.875,False
h2-s3-c3p5-wbase,3.5,2,3.0,base,-2.293696537803025,2.168742594315387,4.462439132118412,580864.9406305093,25.35371613282906,True,9.300143617539957,0,5.150165383364825,28,60.71428571428571,False
h2-s3-c3p5-wrs_heavy,3.5,2,3.0,rs_heavy,-2.334061802306575,2.128377329811837,4.462439132118412,579263.385973446,24.396629533417137,True,9.24358017452273,0,4.993499289410317,28,60.71428571428571,False
h2-s3-c3p5-wcluster_heavy,3.5,2,3.0,cluster_heavy,-2.7743066504385183,1.6881324816798937,4.462439132118412,562040.1702035589,24.901622598384247,True,9.44335449573109,0,4.930584703486454,27,59.25925925925925,False
h3-s2-c2p5-wbase,2.5,3,2.0,base,-4.352271391664231,0.1101677404541812,4.462439132118412,503861.42317509017,3.3457622861070484,True,8.159674260276509,0,1.4827698483276501,25,36.0,False
h3-s2-c2p5-wrs_heavy,2.5,3,2.0,rs_heavy,-4.352271391664231,0.1101677404541812,4.462439132118412,503861.42317509017,3.3457622861070484,True,8.159674260276509,0,1.4827698483276501,25,36.0,False
h3-s2-c2p5-wcluster_heavy,2.5,3,2.0,cluster_heavy,-4.352271391664231,0.1101677404541812,4.462439132118412,503861.42317509017,3.3457622861070484,True,8.159674260276509,0,1.4827698483276501,25,36.0,False
h3-s2-c3-wbase,3.0,3,2.0,base,-3.9009469499940552,0.5614921821243568,4.462439132118412,519948.516598452,9.998353519799442,True,8.761210622151848,0,2.505032761287607,22,45.45454545454545,False
h3-s2-c3-wrs_heavy,3.0,3,2.0,rs_heavy,-3.9009469499940552,0.5614921821243568,4.462439132118412,519948.516598452,9.998353519799442,True,8.761210622151848,0,2.505032761287607,22,45.45454545454545,False
h3-s2-c3-wcluster_heavy,3.0,3,2.0,cluster_heavy,-3.8478358839297844,0.6146032481886277,4.462439132118412,521870.2395581594,9.994999967060492,True,8.746172760314588,0,2.5045279574987798,22,45.45454545454545,False
h3-s2-c3p5-wbase,3.5,3,2.0,base,-4.279315941940975,0.1831231901774366,4.462439132118412,506432.58042761136,11.28925478562499,True,8.459152310733032,0,2.4259437879735195,19,42.10526315789473,False
h3-s2-c3p5-wrs_heavy,3.5,3,2.0,rs_heavy,-4.279315941940975,0.1831231901774366,4.462439132118412,506432.58042761136,11.28925478562499,True,8.459152310733032,0,2.4259437879735195,19,42.10526315789473,False
h3-s2-c3p5-wcluster_heavy,3.5,3,2.0,cluster_heavy,-4.467592792047171,-0.00515365992875827,4.462439132118412,499819.98478754674,11.290141085297375,True,8.486024278990563,0,2.4260557363293773,19,42.10526315789473,False
h3-s2p5-c2p5-wbase,2.5,3,2.5,base,-4.573643025823715,-0.11120389370530281,4.462439132118412,496128.00316401187,9.528377625695384,True,9.537055700804805,0,2.5777113951619337,31,45.16129032258064,False
h3-s2p5-c2p5-wrs_heavy,2.5,3,2.5,rs_heavy,-4.573643025823715,-0.11120389370530281,4.462439132118412,496128.003164012,9.528377625695384,True,9.537055700804782,0,2.5777113951619337,31,45.16129032258064,False
h3-s2p5-c2p5-wcluster_heavy,2.5,3,2.5,cluster_heavy,-4.573643025823715,-0.11120389370530281,4.462439132118412,496128.003164012,9.528377625695384,True,9.537055700804782,0,2.5777113951619337,31,45.16129032258064,False
h3-s2p5-c3-wbase,3.0,3,2.5,base,-3.6018637090058148,0.8605754231125973,4.462439132118412,530849.849460299,18.59080621810053,True,8.398117981993266,0,4.2258203815155335,27,48.148148148148145,False
h3-s2p5-c3-wrs_heavy,3.0,3,2.5,rs_heavy,-3.6016672799654703,0.8607718521529417,4.462439132118412,530857.0729811254,18.437703072664597,True,8.367826626159763,0,4.199254387484543,27,48.148148148148145,False
h3-s2p5-c3-wcluster_heavy,3.0,3,2.5,cluster_heavy,-3.6018637090058148,0.8605754231125973,4.462439132118412,530849.849460299,18.59080621810053,True,8.398117981993266,0,4.2258203815155335,27,48.148148148148145,False
h3-s2p5-c3p5-wbase,3.5,3,2.5,base,-2.966038213604305,1.496400918514107,4.462439132118412,554677.5793388225,27.9783614118444,True,9.01852455333306,0,5.700193132642003,25,56.00000000000001,False
h3-s2p5-c3p5-wrs_heavy,3.5,3,2.5,rs_heavy,-2.9839593081310456,1.4784798239873664,4.462439132118412,553993.6434365009,27.98424065934737,True,8.935375354129611,0,5.701180810166494,25,56.00000000000001,False
h3-s2p5-c3p5-wcluster_heavy,3.5,3,2.5,cluster_heavy,-3.086030169598253,1.3764089625201592,4.462439132118412,550112.0001334517,22.708330299742116,True,9.136711026773392,0,4.509671407588406,23,52.17391304347826,False
h3-s3-c2p5-wbase,2.5,3,3.0,base,-2.6412540877666757,1.8211850443517363,4.462439132118412,567198.536621027,9.215267113624776,True,15.007245399642336,0,2.810161277404286,86,47.674418604651166,False
h3-s3-c2p5-wrs_heavy,2.5,3,3.0,rs_heavy,-2.864637262514247,1.5978018696041651,4.462439132118412,558561.0631087411,7.516452616753244,True,16.554852386218073,0,2.269401672370729,87,44.827586206896555,False
h3-s3-c2p5-wcluster_heavy,2.5,3,3.0,cluster_heavy,-2.505759165687804,1.9566799664306078,4.462439132118412,572493.2299121228,9.058452128729915,True,13.99319150323045,0,2.747386946059335,81,48.148148148148145,False
h3-s3-c3-wbase,3.0,3,3.0,base,-3.044455688720049,1.417983443398363,4.462439132118412,551690.2097553224,9.940569429353125,True,20.070011501674863,0,2.4598646022170376,87,54.02298850574713,False
h3-s3-c3-wrs_heavy,3.0,3,3.0,rs_heavy,-3.52812618463334,0.934312947485072,4.462439132118412,533567.4137208886,12.805867826208846,True,20.630349361551502,0,3.1097254828226264,77,57.14285714285714,False
h3-s3-c3-wcluster_heavy,3.0,3,3.0,cluster_heavy,-2.969621881568285,1.492817250550127,4.462439132118412,554540.7553408206,10.743078733485394,True,20.2605790929102,0,2.5987269034928246,84,52.38095238095239,False
