year,regime,signals,r60_n,r60_p25,r60_median,r60_p75,r60_positive_pct,r120_n,r120_p25,r120_median,r120_p75,r120_positive_pct
2015,广度门关,143,143,-0.540961502696663,7.653061224489788,20.366907119618794,74.12587412587412,141,-11.721788121556964,1.631872978535731,25.40370065823452,56.02836879432624
2015,广度门开,8978,8943,-42.16428331964734,-21.971100407558364,11.547778154457578,31.231130493123114,8933,-42.289348171701114,-29.335894316498145,-11.007371007371013,16.791671331019813
2016,广度门关,336,336,-19.97281974528041,-11.435767808252074,1.9878021166915005,27.976190476190474,336,-31.52147750651141,-19.794421773885816,-6.779770665200315,21.726190476190474
2016,广度门开,2151,2151,-18.198304653483753,-9.600679694137625,1.8884260847686685,28.544862854486286,2151,-29.19226787743613,-17.355853232382067,-0.7489403094172231,24.17480241748024
2017,广度门关,3469,3469,-11.047898687689095,0.5219841354225485,12.833203091082733,51.02334966849236,3469,-14.950495049504953,2.4657534246575574,22.554198116878066,53.12770250792736
2017,广度门开,7043,7043,-14.022620001781094,-1.2141772830286945,14.666501976284586,47.394576174925454,7042,-17.509560834025486,0.3713158900267355,21.38822834289439,50.49701789264414
2018,广度门关,2362,2362,-22.559959750654645,-14.241841843771606,-4.827245754264653,18.543607112616428,2362,-34.11268499534561,-21.56821144882901,-10.549758601946754,12.320067739204065
2018,广度门开,867,867,-20.14735480496677,-12.17948717948717,-2.112726818226951,21.337946943483274,867,-32.37894327142514,-20.703341850499545,-4.233530784466383,19.953863898500575
2019,广度门关,2228,2228,-5.81938139305419,8.43907282423877,30.74601301531523,64.40754039497307,2228,-4.538039726903634,18.552073036925442,41.63063731705253,70.87073608617594
2019,广度门开,5708,5708,-18.015855309508744,-6.278606387150182,9.05422404917486,37.87666433076384,5708,-18.90825483077972,-1.491774894523773,22.178252514113428,47.91520672740014
2020,广度门关,3143,3143,-13.008281611177852,3.756110110625177,22.609555868186114,56.315622017181035,3143,-7.167683011264153,13.212316681818681,36.516922957838496,67.45147947820554
2020,广度门开,13337,13337,-18.435993497047075,-3.0927835051546393,15.918803418803428,45.31753767713879,13337,-18.12446827164743,3.8314090023658265,29.7794144635261,54.39004273824698
2021,广度门关,4703,4703,-20.567841085362875,-8.871784484504763,5.239586462022494,33.25536891345949,4703,-27.166279047289386,-9.750426107794707,13.337213241377544,37.35913246863704
2021,广度门开,12117,12117,-22.84180706724317,-9.257142857142853,11.214953271028062,35.99075678798383,12101,-30.196353407722963,-14.14529914529914,10.876777251184834,33.65011156102801
2022,广度门关,1430,1430,-24.142450830857065,-13.935979154235106,-2.009896447078738,21.3986013986014,1430,-29.746609799418966,-17.658358765683275,-2.3916247818953544,22.167832167832167
2022,广度门开,5149,5149,-26.387315968289915,-14.7117962466488,-0.8597883597883493,23.79102738395805,5149,-28.667277440985572,-18.199678514020366,-4.0000000000000036,20.256360458341426
2023,广度门关,3316,3316,-24.258755802465927,-14.575721579749345,-3.767645435452965,17.792521109770806,3316,-29.84557872035985,-17.54233450382699,-1.973185420112461,22.708082026537998
2023,广度门开,5718,5718,-19.27857289577284,-8.2901832761397,8.295631602242821,34.10283315844701,5718,-26.51920256790119,-14.251854746802177,0.09472326095760764,25.183630640083944
2024,广度门关,3665,3665,-11.765349747263066,-0.4171151776103166,9.44319111920262,49.03137789904502,3665,-10.403049025897948,2.4447430769378498,14.558357688014922,54.70668485675307
2024,广度门开,8775,8775,-18.949461987649258,-6.416072585871657,7.122456431473411,37.58404558404558,8767,-21.50192698152848,-8.582839443874102,8.337287097939583,36.534732519676055
2025,广度门关,125,125,-18.281849699490095,-7.074235807860251,13.540013407752705,40.0,125,-13.861770484444458,-3.3553324742665147,14.745971994603746,42.4
2025,广度门开,19705,14428,-18.221786514815413,-5.356701131116958,15.1154000225571,41.648184086498475,6814,-14.183211803880111,-0.2754419540142994,23.077113823824146,49.58908130319929
