capture_industry,cluster_active,financial_ann_date,financial_bad,financial_missing,is_st,membership_present,period,planned_entry_date,reasons,signal_date,signal_industry,ts_code
801096.SI,True,,False,True,False,True,2015-2021,2015-01-09,"[""financial_missing""]",2015-01-08,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-12,"[""financial_missing""]",2015-01-09,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-19,"[""financial_missing""]",2015-01-16,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-29,"[""financial_missing""]",2015-01-28,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-30,"[""financial_missing""]",2015-01-29,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-02,"[""financial_missing""]",2015-01-30,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-03,"[""financial_missing""]",2015-02-02,801096.SI,000800.SZ
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-03,"[""cluster_inactive""]",2015-02-02,801721.SI,600491.SH
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-04,"[""cluster_inactive""]",2015-02-03,801721.SI,600491.SH
801231.SI,True,,False,True,False,True,2015-2021,2015-02-09,"[""financial_missing""]",2015-02-06,801231.SI,000839.SZ
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-09,"[""cluster_inactive""]",2015-02-06,801721.SI,600491.SH
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-10,"[""cluster_inactive""]",2015-02-09,801721.SI,600491.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-02-11,"[""financial_missing""]",2015-02-10,801096.SI,000800.SZ
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-11,"[""cluster_inactive""]",2015-02-10,801721.SI,600491.SH
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-12,"[""cluster_inactive""]",2015-02-11,801721.SI,600491.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-02-13,"[""financial_missing""]",2015-02-12,801096.SI,000800.SZ
801721.SI,False,2014-04-11,False,False,False,True,2015-2021,2015-02-13,"[""cluster_inactive""]",2015-02-12,801721.SI,600491.SH
801231.SI,True,,False,True,False,True,2015-2021,2015-02-25,"[""financial_missing""]",2015-02-17,801231.SI,000839.SZ
801721.SI,False,2014-03-19,False,False,False,True,2015-2021,2015-02-26,"[""cluster_inactive""]",2015-02-25,801721.SI,600170.SH
801193.SI,False,2014-03-11,False,False,False,True,2015-2021,2015-02-27,"[""cluster_inactive""]",2015-02-26,801193.SI,000712.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-27,"[""financial_missing""]",2015-02-26,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-02-27,"[""financial_missing""]",2015-02-26,801202.SI,600120.SH
801193.SI,False,2014-03-11,False,False,False,True,2015-2021,2015-03-02,"[""cluster_inactive""]",2015-02-27,801193.SI,000712.SZ
801193.SI,False,2014-03-11,False,False,False,True,2015-2021,2015-03-03,"[""cluster_inactive""]",2015-03-02,801193.SI,000712.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-04,"[""financial_missing""]",2015-03-03,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-05,"[""financial_missing""]",2015-03-04,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-03-05,"[""financial_missing""]",2015-03-04,801202.SI,600120.SH
801076.SI,False,2014-03-21,False,False,False,True,2015-2021,2015-03-05,"[""cluster_inactive""]",2015-03-04,801076.SI,600528.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-03-06,"[""financial_missing""]",2015-03-05,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-09,"[""financial_missing""]",2015-03-06,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-10,"[""financial_missing""]",2015-03-09,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-03-10,"[""financial_missing""]",2015-03-09,801202.SI,600120.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-03-11,"[""financial_missing""]",2015-03-10,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-12,"[""financial_missing""]",2015-03-11,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-03-12,"[""financial_missing""]",2015-03-11,801202.SI,600120.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-03-13,"[""financial_missing""]",2015-03-12,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-16,"[""financial_missing""]",2015-03-13,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-17,"[""financial_missing""]",2015-03-16,801096.SI,000800.SZ
801076.SI,False,2014-03-21,False,False,False,True,2015-2021,2015-03-17,"[""cluster_inactive""]",2015-03-16,801076.SI,600528.SH
801193.SI,False,2014-03-11,False,False,False,True,2015-2021,2015-03-18,"[""cluster_inactive""]",2015-03-17,801193.SI,000712.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-18,"[""financial_missing""]",2015-03-17,801096.SI,000800.SZ
801231.SI,True,,False,True,False,True,2015-2021,2015-03-18,"[""financial_missing""]",2015-03-17,801231.SI,000839.SZ
801076.SI,False,2014-03-21,False,False,False,True,2015-2021,2015-03-18,"[""cluster_inactive""]",2015-03-17,801076.SI,600528.SH
801783.SI,False,2014-04-01,False,False,False,True,2015-2021,2015-03-18,"[""cluster_inactive""]",2015-03-17,801783.SI,601166.SH
801194.SI,False,2014-03-27,False,False,False,True,2015-2021,2015-03-18,"[""cluster_inactive""]",2015-03-17,801194.SI,601336.SH
801193.SI,False,2014-03-11,False,False,False,True,2015-2021,2015-03-19,"[""cluster_inactive""]",2015-03-18,801193.SI,000712.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-03-19,"[""financial_missing""]",2015-03-18,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-03-19,"[""financial_missing""]",2015-03-18,801202.SI,600120.SH
801193.SI,False,2014-03-11,False,False,False,True,2015-2021,2015-03-20,"[""cluster_inactive""]",2015-03-19,801193.SI,000712.SZ
