year,regime,signals,r60_n,r60_p25,r60_median,r60_p75,r60_positive_pct,r120_n,r120_p25,r120_median,r120_p75,r120_positive_pct
2015,广度门关,6592,6566,-44.86495297280382,-23.508605586044407,4.392552292851631,27.977459640572647,6559,-43.77778859483268,-31.753807497373998,-15.708027215508007,11.34319255984144
2015,广度门开,2649,2638,-34.15429877056943,-11.761177535669859,28.03147211591034,42.911296436694464,2633,-36.09488609313919,-19.217491369390103,12.15022272537103,32.89023927079377
2016,广度门关,344,344,-20.059720237967554,-11.535011217413343,1.4949649580213775,27.61627906976744,344,-31.52147750651141,-19.794421773885816,-7.049380326824308,21.22093023255814
2016,广度门开,2306,2306,-18.262318701670523,-9.633467151517106,2.0242136036498937,28.57762359063313,2306,-29.268946749953606,-17.15443123809459,-0.4849246902238563,24.501300954032956
2017,广度门关,3696,3696,-10.547569007929619,0.8513080411012064,13.401173474065192,51.70454545454545,3696,-14.188425214371167,3.630139326185644,24.014442721157277,54.54545454545455
2017,广度门开,7392,7392,-14.036589762076424,-1.2901594753566392,14.740128838412764,47.2267316017316,7391,-17.4828602126735,0.22371364653244186,21.138954229540385,50.29089433094304
2018,广度门关,2592,2592,-22.880242998025686,-14.460188181458028,-5.173516674411873,18.132716049382715,2592,-33.88905513402188,-20.87839449518907,-9.115828039585633,13.233024691358025
2018,广度门开,919,919,-20.14735480496677,-12.132755522730887,-1.9161669525742664,22.089227421109904,919,-32.49186780648667,-20.498001186836724,-3.853455696327063,20.45701849836779
2019,广度门关,2366,2366,-6.059436292875031,8.129559171606793,30.517480889307556,63.69399830938293,2366,-4.0067491346009705,18.65872335156886,41.532993098470094,70.75232459847844
2019,广度门开,5832,5832,-17.943409164405246,-6.278606387150182,9.05422404917486,37.877229080932786,5832,-18.762066106819013,-1.3965717242892972,22.472269623961783,47.99382716049383
2020,广度门关,4451,4451,-16.022010398613517,0.6976744186046657,18.7668978700425,50.79757357897102,4451,-14.948241570557592,6.995147018883041,31.69366922203163,58.79577623006066
2020,广度门开,12361,12361,-18.234791670846796,-2.3510971786833923,17.188840986851893,46.45255238249332,12361,-16.66265355873121,5.1557416740663164,30.81282819006459,55.95825580454656
2021,广度门关,4919,4919,-20.508659442455052,-8.808458195498481,5.330238542255095,33.50274446025615,4919,-27.466159828580643,-10.100954557211317,12.748625539534142,37.121366131327505
2021,广度门开,12471,12471,-22.787708808736703,-9.230315541138301,11.131632288824855,35.955416566434124,12455,-30.111914907735105,-14.018691588785048,10.968401341452738,33.641107988759536
2022,广度门关,1611,1611,-23.650530069268644,-12.912133538474501,-1.369718873328174,22.65673494723774,1611,-29.45299086782039,-17.564402810304436,-1.8461918675549638,22.594661700806952
2022,广度门开,5417,5417,-26.23162610895581,-14.530831099195707,-0.7127882599580637,24.035443972678603,5417,-28.538436241569098,-18.07596716272345,-3.921732033656722,20.34336348532398
2023,广度门关,3545,3545,-23.956183521193843,-14.259259259259272,-3.594594594594591,18.251057827926658,3545,-29.467670788524913,-16.603773584905667,-0.6171872388158417,24.118476727785612
2023,广度门开,5884,5884,-19.297374628445315,-8.383130877742946,8.167060531860383,33.85452073419442,5884,-26.75104103804589,-14.318851162777708,0.13971437370912665,25.254928619986405
2024,广度门关,4066,4066,-11.988143749114517,-0.17388583402330737,9.993133101065709,49.36055090998524,4066,-10.984100815625695,2.4391358467158786,15.013036975032596,54.54992621741269
2024,广度门开,8765,8765,-18.977613960645222,-6.3054733727810675,7.313642756680716,37.93496862521392,8753,-21.499654499464484,-8.521480496938317,8.337061789057687,36.52462013024106
2025,广度门关,130,130,-17.307714144882013,-7.10954899711928,12.982898891519863,40.0,130,-13.492436305817225,-3.2385400152870503,16.1719982628829,43.84615384615385
2025,广度门开,20128,14677,-18.137931034482758,-5.231703732732429,15.068493150684926,41.76602847993459,7046,-14.144615424817811,-0.24843717639528307,22.684098806456813,49.616803860346295
