benchmark_equity,strategy_asset,strategy_equity,strategy_executed_target_weight,strategy_shares,trade_date
500000.0,,500000.0,0.0,0,2015-01-05
499352.80900825,,500000.0,0.0,0,2015-01-06
499216.52240825,,500000.0,0.0,0,2015-01-07
488313.59440825,510300.SH,493693.85588864,0.5,65600,2015-01-08
484770.14280825004,510300.SH,491926.17204864,0.5,65600,2015-01-09
483270.99020825,510300.SH,491178.30580863997,0.5,65600,2015-01-12
482316.98400825,510300.SH,490702.39092864,0.5,65600,2015-01-13
481226.69120825,510300.SH,490158.48820864,0.5,65600,2015-01-14
494855.35120825,510300.SH,496957.27220864,0.5,65600,2015-01-15
499216.52240825,510300.SH,499132.88308864,0.5,65600,2015-01-16
449335.62680825,510300.SH,474249.33364863996,0.5,65600,2015-01-19
465992.8107082501,510300.SH,482558.92500864004,0.5,65600,2015-01-20
487343.47945825005,510300.SH,493209.90500864,0.5,65600,2015-01-21
488169.9569582501,510300.SH,493622.20100864,0.5,65600,2015-01-22
490511.64320825005,510300.SH,494790.37300864,0.5,65600,2015-01-23
495195.01570825005,510300.SH,497126.71700864,0.5,65600,2015-01-26
490236.15070825006,510300.SH,494652.94100864,0.5,65600,2015-01-27
482384.61445825006,510300.SH,490736.12900864,0.5,65600,2015-01-28
477288.00320825004,510300.SH,488193.63700864,0.5,65600,2015-01-29
471364.91445825004,510300.SH,485238.84900864,0.5,65600,2015-01-30
460758.4532082501,510300.SH,479947.71700864006,0.5,65600,2015-02-02
471640.40695825004,510300.SH,485376.28100864,0.5,65600,2015-02-03
466268.30320825,510300.SH,482696.35700863996,0.5,65600,2015-02-04
460758.4532082501,510300.SH,479947.71700864006,0.5,65600,2015-02-05
453871.14070825005,510300.SH,476511.91700864,0.5,65600,2015-02-06
459105.49820825004,510300.SH,479123.12500864,0.5,65600,2015-02-09
468334.49695825006,510300.SH,483727.09700864,0.5,65600,2015-02-10
471364.91445825004,510300.SH,485238.84900864,0.5,65600,2015-02-11
473293.36195825005,510300.SH,486200.87300864,0.5,65600,2015-02-12
476323.77945825004,510300.SH,487712.62500864,0.5,65600,2015-02-13
480318.42070825014,510300.SH,489705.3890086401,0.5,65600,2015-02-16
484588.55445825006,510300.SH,491835.58500864,0.5,65600,2015-02-17
477150.2569582501,510300.SH,488124.92100863997,0.5,65600,2015-02-25
491338.12070825003,510300.SH,495202.66900864,0.5,65600,2015-02-26
490373.8969582501,510300.SH,494721.65700864,0.5,65600,2015-02-27
494230.7919582501,510300.SH,496645.70500864007,0.5,65600,2015-03-02
480731.6594582501,,494812.89467764006,0.0,0,2015-03-03
484726.30070825,,494812.89467764006,0.0,0,2015-03-04
480593.9132082501,,494812.89467764006,0.0,0,2015-03-05
477563.49570825015,,494812.89467764006,0.0,0,2015-03-06
486930.24070825,,494812.89467764006,0.0,0,2015-03-09
483486.5844582501,510300.SH,493785.37024076504,0.5,67000,2015-03-10
484175.31570825004,,493670.79730951507,0.0,0,2015-03-11
492991.07570825005,,493670.79730951507,0.0,0,2015-03-12
495746.00070825004,,493670.79730951507,0.0,0,2015-03-13
508005.41695825005,510300.SH,498047.80224701506,0.5,65000,2015-03-16
514479.4907082501,,499764.54345014005,0.0,0,2015-03-17
528116.3694582501,,499764.54345014005,0.0,0,2015-03-18
525361.4444582501,,499764.54345014005,0.0,0,2015-03-19
