buy_price,buy_value,direction,execution_date,fees,from_asset,from_weight,reasons,sell_price,sell_value,shares_after,shares_before,signal_date,target_weight,to_asset
3.8056608,249651.34848000002,CASH→510300.SH,2015-01-08,187.23851136000002,,0.0,regime_half;enter_leader,,0.0,65600,0,2015-01-07,0.5,510300.SH
,0.0,510300.SH→CASH,2015-03-03,183.62633100000002,510300.SH,0.5,overheat;cash,3.7322425000000004,244835.10800000004,0,65600,2015-03-02,0.0,
3.6882475,247112.58250000002,CASH→510300.SH,2015-03-10,185.33443687500002,,0.0,regime_half;enter_leader,,0.0,67000,0,2015-03-09,0.5,510300.SH
,0.0,510300.SH→CASH,2015-03-11,184.75543125000002,510300.SH,0.5,overheat;cash,3.6767250000000002,246340.575,0,67000,2015-03-10,0.0,
3.7919500000000004,246476.75000000003,CASH→510300.SH,2015-03-16,184.85756250000003,,0.0,regime_half;enter_leader,,0.0,65000,0,2015-03-13,0.5,510300.SH
,0.0,510300.SH→CASH,2015-03-17,189.70879687500002,510300.SH,0.5,overheat;cash,3.8914625000000003,252945.06250000003,0,65000,2015-03-16,0.0,
4.745175000000001,249596.20500000005,CASH→510300.SH,2015-04-17,187.19715375000004,,0.0,regime_half;enter_leader,,0.0,52600,0,2015-04-16,0.5,510300.SH
,0.0,510300.SH→CASH,2015-04-20,189.67658625000004,510300.SH,0.5,overheat;cash,4.808025000000001,252902.11500000005,0,52600,2015-04-17,0.0,
4.9861,251299.44000000003,CASH→510300.SH,2015-04-30,188.47458000000003,,0.0,regime_half;enter_leader,,0.0,50400,0,2015-04-29,0.5,510300.SH
,0.0,510300.SH→CASH,2015-05-04,187.6430745,510300.SH,0.5,overheat;cash,4.9641025,250190.766,0,50400,2015-04-30,0.0,
4.808025000000001,250498.10250000004,CASH→510300.SH,2015-05-06,187.87357687500003,,0.0,regime_half;enter_leader,,0.0,52100,0,2015-05-05,0.5,510300.SH
2.908,249215.6,510300.SH→159915.SZ,2015-05-11,373.148034375,510300.SH,0.5,regime_half;momentum_switch,4.766125000000001,248315.11250000002,85700,52100,2015-05-08,0.5,159915.SZ
,0.0,159915.SZ→CASH,2015-05-12,196.87432500000003,159915.SZ,0.5,overheat;cash,3.063,262499.10000000003,0,85700,2015-05-11,0.0,
3.398,255529.6,CASH→159915.SZ,2015-06-01,191.6472,,0.0,regime_half;enter_leader,,0.0,75200,0,2015-05-29,0.5,159915.SZ
