population,signal_date,ts_code,streak,gain_bucket,horizon,target_date,price_date,gross_return,net_return,status
s7_control,2016-08-22,000895.SZ,2,le_1_5,1,2016-08-23,2016-08-23,-0.005620232838217554,-0.007120232838217553,valid
s7_control,2016-08-22,000895.SZ,2,le_1_5,3,2016-08-25,2016-08-25,-0.014050582095543995,-0.015550582095543995,valid
s7_control,2016-08-22,000895.SZ,2,le_1_5,5,2016-08-29,2016-08-29,-0.03372139702930543,-0.035221397029305435,valid
s7_control,2016-08-22,000895.SZ,2,le_1_5,10,2016-09-05,2016-09-05,-0.04134885588117221,-0.04284885588117221,valid
s7_control,2016-08-22,300017.SZ,2,le_1_5,1,2016-08-23,2016-08-23,-0.007789678675754752,-0.009289678675754752,valid
s7_control,2016-08-22,300017.SZ,2,le_1_5,3,2016-08-25,2016-08-25,-0.007928780080678877,-0.009428780080678876,valid
s7_control,2016-08-22,300017.SZ,2,le_1_5,5,2016-08-29,2016-08-29,-0.0026429266935594775,-0.004142926693559477,valid
s7_control,2016-08-22,300017.SZ,2,le_1_5,10,2016-09-05,2016-09-05,-0.03185422172763963,-0.03335422172763963,valid
s7_control,2016-08-22,600036.SH,2,le_1_5,1,2016-08-23,2016-08-23,-0.0016051364365972098,-0.00310513643659721,valid
s7_control,2016-08-22,600036.SH,2,le_1_5,3,2016-08-25,2016-08-25,-0.009630818619582593,-0.011130818619582592,valid
s7_control,2016-08-22,600036.SH,2,le_1_5,5,2016-08-29,2016-08-29,-0.022471910112359716,-0.023971910112359718,valid
s7_control,2016-08-22,600036.SH,2,le_1_5,10,2016-09-05,2016-09-05,0.0032102728731941976,0.0017102728731941976,valid
s7_control,2016-08-22,600196.SH,2,le_1_5,1,2016-08-23,2016-08-23,-0.015068493150684703,-0.016568493150684704,valid
s7_control,2016-08-22,600196.SH,2,le_1_5,3,2016-08-25,2016-08-25,0.03926940639269416,0.03776940639269416,valid
s7_control,2016-08-22,600196.SH,2,le_1_5,5,2016-08-29,2016-08-29,0.05936073059360747,0.05786073059360747,valid
s7_control,2016-08-22,600196.SH,2,le_1_5,10,2016-09-05,2016-09-05,0.07579908675799096,0.07429908675799096,valid
s7_control,2016-08-22,600276.SH,2,le_1_5,1,2016-08-23,2016-08-23,-0.009861048857014776,-0.011361048857014775,valid
s7_control,2016-08-22,600276.SH,2,le_1_5,3,2016-08-25,2016-08-25,-0.010981622590766404,-0.012481622590766404,valid
s7_control,2016-08-22,600276.SH,2,le_1_5,5,2016-08-29,2016-08-29,-0.005378753922007928,-0.006878753922007928,valid
s7_control,2016-08-22,600276.SH,2,le_1_5,10,2016-09-05,2016-09-05,-0.011205737337516841,-0.01270573733751684,valid
s7_control,2016-08-22,600297.SH,2,gt_1_5,1,2016-08-23,2016-08-23,0.043933054393305415,0.042433054393305414,valid
s7_control,2016-08-22,600297.SH,2,gt_1_5,3,2016-08-25,2016-08-25,-0.005230125523012608,-0.006730125523012607,valid
s7_control,2016-08-22,600297.SH,2,gt_1_5,5,2016-08-29,2016-08-29,0.023012552301254985,0.021512552301254984,valid
s7_control,2016-08-22,600297.SH,2,gt_1_5,10,2016-09-05,2016-09-05,-0.025104602510460317,-0.026604602510460318,valid
s7_control,2016-08-22,600297.SH,3,gt_1_5,1,2016-08-23,2016-08-23,0.043933054393305415,0.042433054393305414,valid
s7_control,2016-08-22,600297.SH,3,gt_1_5,3,2016-08-25,2016-08-25,-0.005230125523012608,-0.006730125523012607,valid
s7_control,2016-08-22,600297.SH,3,gt_1_5,5,2016-08-29,2016-08-29,0.023012552301254985,0.021512552301254984,valid
s7_control,2016-08-22,600297.SH,3,gt_1_5,10,2016-09-05,2016-09-05,-0.025104602510460317,-0.026604602510460318,valid
s7_control,2016-08-22,600518.SH,2,le_1_5,1,2016-08-23,2016-08-23,-0.002515723270440362,-0.004015723270440362,valid
s7_control,2016-08-22,600518.SH,2,le_1_5,3,2016-08-25,2016-08-25,0.005660377358490454,0.004160377358490454,valid
