code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,hold_days,exit_reason,still_open
000001.SZ,2023-01-17,2023-01-18,1703.346,2023-02-07,1601.943,-6.103177257525077,9,E1'止损/破慢线,False
000001.SZ,2023-08-02,2023-08-03,1399.389,2023-08-15,1364.375,-2.6520850708924235,8,E1'止损/破慢线,False
000001.SZ,2024-02-08,2024-02-19,1139.119,2024-04-03,1228.988,7.739344262295061,32,E2'趋势失效,False
000001.SZ,2024-04-25,2024-04-26,1235.991,2024-06-04,1278.007,3.249433427762033,24,E1'止损/破慢线,False
000001.SZ,2024-10-15,2024-10-16,1507.852,2024-11-12,1479.74,-2.014406779661032,19,E1'止损/破慢线,False
000001.SZ,2024-12-18,2024-12-19,1481.018,2025-01-03,1461.85,-1.4442191544434877,10,E1'止损/破慢线,False
000001.SZ,2025-03-05,2025-03-06,1493.796,2025-03-18,1472.073,-1.6042343883661268,8,E1'止损/破慢线,False
000001.SZ,2025-05-22,2025-05-23,1475.906,2025-07-25,1624.944,9.948013230656487,44,E1'止损/破慢线,False
000001.SZ,2025-11-07,2025-11-10,1550.355,2025-12-04,1554.392,0.11041666666667407,18,E1'止损/破慢线,False
000001.SZ,2026-04-14,2026-04-15,1501.906,2026-04-23,1477.682,-1.762903225806439,6,E1'止损/破慢线,False
000001.SZ,2026-04-27,2026-04-28,1528.822,2026-05-14,1499.215,-2.086619718309851,9,E1'止损/破慢线,False
000001.SZ,2026-06-15,2026-06-16,1536.038,2026-06-22,1462.364,-4.946380090497743,3,E1'止损/破慢线,False
000002.SZ,2022-07-06,2022-07-07,3165.235,2022-07-15,2982.969,-5.908354755784067,6,E1'止损/破慢线,False
000002.SZ,2024-11-05,2024-11-06,1688.03,2024-11-13,1657.14,-1.979924650161463,5,E1'止损/破慢线,False
000002.SZ,2025-07-23,2025-07-24,1217.417,2025-08-01,1170.174,-4.03059701492538,6,E1'止损/破慢线,False
000002.SZ,2025-09-22,2025-09-23,1261.026,2025-10-10,1221.051,-3.320028818443815,7,E1'止损/破慢线,False
