code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,exit_reason,platform,signal_type,still_open,trimmed,hold_days
000157,2021-02-23,2021-02-24,11.04,2021-02-25,10.93,-1.1463768115942017,E1,10.82,entry_A,False,False,1
000157,2021-03-03,2021-03-04,12.0,2021-03-08,10.62,-11.650000000000011,E1,10.82,entry_A,False,False,4
600779,2021-05-20,2021-05-21,108.56,2021-07-30,103.38,2.2081429624170927,E1(含T1减半),97.52,entry_A,False,True,70
603486,2021-05-20,2021-05-21,159.11,2021-05-25,149.06,-6.4663848909559505,E1,153.64,entry_A,False,False,4
000301,2021-05-21,2021-05-24,17.1,2021-06-17,15.39,-10.15000000000001,E1,15.9,entry_A,False,False,24
603260,2021-05-21,2021-05-24,56.72,2021-05-25,55.0,-3.1824400564174846,E1,54.98,entry_A,False,False,1
000963,2021-05-24,2021-05-25,45.37,2021-06-03,43.69,-3.8528873705091446,E1,43.61,entry_A,False,False,9
600733,2021-05-26,2021-05-27,16.8,2021-06-17,14.4,-14.43571428571429,E1,15.14,entry_A,False,False,21
603486,2021-05-26,2021-05-27,155.09,2021-07-27,174.92,24.909642788058548,E3(含T1减半),153.64,entry_A,False,True,61
002709,2021-05-27,2021-05-28,40.02,2021-12-14,59.16,26.736556721639165,E2(含T1减半),34.33,entry_A,False,True,200
601919,2021-05-27,2021-05-28,9.07,2021-07-28,9.63,2.055071664829106,E3(含T1减半),8.26,entry_A,False,True,61
603260,2021-05-27,2021-05-28,57.77,2021-06-04,57.61,-0.4269603600484727,E1,54.98,entry_A,False,False,7
601127,2021-06-01,2021-06-02,59.84,2021-06-03,60.42,0.8192513368984023,E1,59.94,entry_A,False,False,1
603737,2021-06-03,2021-06-04,69.29,2021-07-19,67.67,-2.487999711358063,E1,62.14,entry_A,False,False,45
002230,2021-06-04,2021-06-07,58.69,2021-07-28,56.98,-3.063613903561085,E1,56.31,entry_A,False,False,51
603260,2021-06-07,2021-06-08,58.84,2021-06-25,57.06,-3.1751529571719947,E1,54.98,entry_A,False,False,17
002812,2021-06-09,2021-06-10,163.3,2021-12-07,227.68,37.10658297611757,E2(含T1减半),157.79,entry_A,False,True,180
