code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,hold_days,exit_reason,platform,still_open
002648,2021-06-30,2021-07-01,18.92,2021-07-02,17.5,-7.505285412262164,1,-8%止损,16.47,False
600196,2021-06-30,2021-07-01,68.18,2021-07-07,60.59,-11.132296861249635,4,破平台止损,66.46,False
601857,2021-06-30,2021-07-01,4.07,2021-07-06,4.01,-1.4742014742014864,3,破平台止损,4.0,False
603392,2021-06-30,2021-07-01,124.59,2021-07-05,119.64,-3.9730315434625574,2,破MA20,117.56,False
603806,2021-06-30,2021-07-01,36.96,2021-07-28,38.75,4.843073593073588,19,破MA20,32.27,False
688126,2021-06-30,2021-07-01,28.81,2021-07-02,27.83,-3.4015966678236698,1,破平台止损,28.9,False
688185,2021-06-30,2021-07-01,773.92,2021-07-07,676.63,-12.571066776927841,4,-8%止损,682.65,False
600436,2021-07-01,2021-07-02,438.38,2021-07-13,405.87,-7.415940508234864,7,破MA20,401.53,False
688065,2021-07-01,2021-07-02,72.98,2021-07-26,73.75,1.0550835845437145,16,破MA20,71.99,False
300033,2021-09-10,2021-09-13,91.77,2021-09-28,84.29,-8.150811812139036,9,-8%止损,79.97,False
300059,2021-09-10,2021-09-13,24.29,2021-09-17,23.25,-4.281597365170853,4,破平台止损,23.94,False
600383,2021-09-10,2021-09-13,10.78,2021-09-16,9.86,-8.53432282003711,3,破平台止损,10.62,False
600048,2021-10-11,2021-10-12,12.02,2021-10-19,11.43,-4.908485856905154,5,破MA20,11.39,False
601225,2021-10-11,2021-10-12,10.66,2021-10-13,10.42,-2.251407129455907,1,破平台止损,10.69,False
000876,2021-10-13,2021-10-14,14.15,2021-10-15,13.51,-4.522968197879862,1,破平台止损,14.39,False
601615,2021-10-13,2021-10-14,22.99,2021-11-17,28.45,23.749456285341463,24,破MA20,22.21,False
920185,2021-10-13,2021-10-14,63.26,2021-11-16,70.34,11.191906417957643,23,破MA20,59.21,False
000876,2021-10-20,2021-10-21,14.67,2021-10-27,14.3,-2.522154055896386,4,破平台止损,14.39,False
600029,2021-10-20,2021-10-21,6.35,2021-10-25,6.11,-3.779527559055107,2,破平台止损,6.24,False
600884,2021-10-20,2021-10-21,36.81,2021-11-04,35.68,-3.069817984243417,10,破MA20,34.39,False
601111,2021-10-20,2021-10-21,8.15,2021-10-22,8.17,0.24539877300613355,1,破平台止损,8.26,False
300750,2021-10-21,2021-10-22,312.08,2021-11-16,319.3,2.3135093565752385,17,破MA20,293.04,False
600741,2021-10-21,2021-10-22,22.06,2021-11-02,21.71,-1.5865820489573745,7,破平台止损,21.83,False
600887,2021-10-21,2021-10-22,31.63,2021-11-18,33.96,7.366424280746142,19,破MA20,30.98,False
002714,2021-10-22,2021-10-25,54.2,2021-10-27,50.32,-7.158671586715871,2,破平台止损,51.43,False
601601,2021-10-22,2021-10-25,25.61,2021-10-27,24.93,-2.655212807497065,2,破平台止损,25.26,False
600029,2021-10-26,2021-10-27,6.26,2021-10-28,6.16,-1.5974440894568676,1,破平台止损,6.24,False
300274,2021-10-27,2021-10-28,121.31,2021-11-01,112.02,-7.658066111614881,2,破平台止损,115.33,False
000876,2021-10-29,2021-11-01,14.17,2021-11-02,14.11,-0.4234297812279464,1,破平台止损,14.39,False
002714,2021-10-29,2021-11-01,51.43,2021-11-11,51.77,0.6610927474236972,8,破MA20,51.43,False
000876,2021-11-11,2021-11-12,15.56,2021-11-19,15.46,-0.6426735218509005,5,破平台止损,15.58,False
002555,2021-11-11,2021-11-12,20.19,2021-11-25,20.07,-0.5943536404160565,9,破平台止损,20.31,False
600029,2021-11-11,2021-11-12,6.65,2021-11-26,6.46,-2.857142857142858,10,破平台止损,6.56,False
600570,2021-11-11,2021-11-12,46.5,2021-11-19,44.01,-5.3548387096774235,5,破平台止损,45.97,False
600754,2021-11-11,2021-11-12,52.6,2021-11-24,50.86,-3.3079847908745297,8,破平台止损,51.11,False
601111,2021-11-11,2021-11-12,8.77,2021-11-19,8.43,-3.876852907639683,5,破平台止损,8.59,False
603198,2021-11-11,2021-11-12,51.52,2021-12-30,59.71,15.896739130434767,34,破MA20,49.9,False
002714,2021-11-12,2021-11-15,54.44,2021-11-23,52.53,-3.508449669360758,6,破MA20,51.43,False
300450,2021-11-12,2021-11-15,82.77,2021-11-17,78.35,-5.340099069711246,2,破平台止损,77.28,False
002459,2021-11-17,2021-11-18,45.6,2021-11-25,42.14,-7.587719298245621,5,破平台止损,44.67,False
002938,2021-11-17,2021-11-18,36.55,2021-11-19,35.36,-3.2558139534883623,1,破平台止损,36.19,False
688536,2021-11-17,2021-11-18,536.51,2021-12-08,548.57,2.2478611768653067,14,破MA20,533.73,False
000977,2021-11-19,2021-11-22,31.83,2021-12-08,31.86,0.09425070688029447,12,破MA20,31.33,False
300014,2021-11-19,2021-11-22,128.2,2021-12-08,132.21,3.127925117004704,12,破MA20,116.97,False
300750,2021-11-19,2021-11-22,332.17,2021-12-08,326.92,-1.5805160008429464,12,破平台止损,329.2,False
600563,2021-11-19,2021-11-22,218.44,2021-12-07,219.06,0.28383080021974205,11,破MA20,212.96,False
300450,2021-11-22,2021-11-23,78.65,2021-11-24,78.42,-0.2924348378893882,1,破MA20,77.28,False
000768,2021-11-23,2021-11-24,36.78,2021-12-08,35.92,-2.338227297444262,10,破MA20,35.22,False
002821,2021-11-23,2021-11-24,301.78,2021-12-14,301.26,-0.172310955000321,14,破MA20,298.45,False
600436,2021-11-23,2021-11-24,426.4,2021-11-29,418.84,-1.7729831144465247,3,破平台止损,422.16,False
002032,2021-11-24,2021-11-25,47.32,2021-12-02,44.64,-5.663567202028741,5,破平台止损,46.51,False
601689,2021-11-25,2021-11-26,39.17,2021-12-06,38.51,-1.6849629818738943,6,破MA20,37.31,False
002049,2021-12-03,2021-12-06,160.13,2021-12-07,161.74,1.005433085617935,1,破平台止损,161.66,False
300496,2021-12-03,2021-12-06,151.1,2021-12-07,148.54,-1.694242223692921,1,破平台止损,151.58,False
600436,2021-12-07,2021-12-08,442.33,2021-12-13,437.59,-1.0715981280944087,3,破平台止损,439.06,False
000776,2021-12-08,2021-12-09,23.16,2021-12-13,22.47,-2.9792746113989743,2,破平台止损,22.43,False
002142,2021-12-08,2021-12-09,34.61,2021-12-15,34.01,-1.7336030049118767,4,破平台止损,34.11,False
002180,2021-12-08,2021-12-09,45.85,2022-01-05,46.55,1.5267175572518887,18,破MA20,41.42,False
002756,2021-12-08,2021-12-09,88.14,2021-12-15,85.06,-3.4944406625822544,4,破MA20,79.47,False
002311,2021-12-10,2021-12-13,64.91,2021-12-20,62.09,-4.344476968109678,5,破平台止损,63.02,False
300014,2021-12-10,2021-12-13,130.13,2021-12-14,131.37,0.9528932605855855,1,破MA20,129.96,False
600690,2021-12-10,2021-12-13,26.83,2021-12-16,26.16,-2.4972046216921284,3,破平台止损,26.3,False
000977,2021-12-13,2021-12-14,34.07,2021-12-21,33.53,-1.5849721162312869,5,破平台止损,33.86,False
600085,2021-12-13,2021-12-14,35.02,2022-01-24,41.93,19.731581953169595,28,破MA20,34.47,False
603501,2021-12-13,2021-12-14,222.74,2021-12-20,213.81,-4.009158660321455,4,破平台止损,214.46,False
000776,2021-12-14,2021-12-15,22.33,2021-12-16,22.43,0.4478280340349361,1,破平台止损,22.43,False
000858,2021-12-14,2021-12-15,215.01,2021-12-16,211.71,-1.5348123343100206,1,破平台止损,211.45,False
002008,2021-12-15,2021-12-16,49.16,2022-01-06,47.25,-3.885272579332788,14,破MA20,44.65,False
000596,2021-12-16,2021-12-17,246.06,2021-12-21,239.39,-2.710720962366908,2,破平台止损,240.13,False
002027,2021-12-16,2021-12-17,6.41,2021-12-20,6.29,-1.8720748829953227,1,破平台止损,6.45,False
002236,2021-12-16,2021-12-17,22.85,2021-12-20,21.5,-5.908096280087538,1,破平台止损,22.66,False
002475,2021-12-16,2021-12-17,44.91,2022-01-07,45.89,2.182142061901593,14,破MA20,43.05,False
300014,2021-12-16,2021-12-17,129.42,2021-12-20,125.99,-2.650285890897841,1,破平台止损,129.96,False
688599,2021-12-16,2021-12-17,80.08,2021-12-21,70.12,-12.437562437562432,2,破平台止损,74.7,False
000408,2021-12-21,2021-12-22,27.97,2021-12-27,27.13,-3.003217733285668,3,破平台止损,27.89,False
300059,2021-12-21,2021-12-22,25.59,2021-12-28,25.37,-0.8597108245408269,4,破平台止损,25.4,False
300413,2021-12-21,2021-12-22,49.1,2022-01-11,51.58,5.0509164969450016,13,破MA20,48.8,False
600298,2021-12-21,2021-12-22,55.9,2021-12-23,55.98,0.14311270125222375,1,破平台止损,55.88,False
600690,2021-12-21,2021-12-22,26.51,2021-12-24,26.01,-1.8860807242550015,2,破平台止损,26.3,False
000596,2021-12-22,2021-12-23,241.86,2021-12-27,237.12,-1.9598114611758866,2,破平台止损,240.13,False
000977,2021-12-22,2021-12-23,33.5,2022-01-10,33.34,-0.47761194029849463,11,破平台止损,33.86,False
002311,2021-12-22,2021-12-23,64.55,2022-01-10,65.21,1.0224632068164263,11,破MA20,63.02,False
688065,2021-12-22,2021-12-23,125.4,2022-01-07,122.6,-2.2328548644338198,10,破MA20,121.23,False
600406,2021-12-23,2021-12-24,28.26,2021-12-27,27.95,-1.0969568294409093,1,破平台止损,28.33,False
688099,2021-12-23,2021-12-24,123.23,2021-12-28,121.57,-1.34707457599611,2,破平台止损,122.88,False
300433,2021-12-24,2021-12-27,23.3,2021-12-29,22.36,-4.034334763948499,2,破平台止损,23.09,False
600298,2021-12-24,2021-12-27,57.24,2021-12-30,55.08,-3.7735849056603876,3,破平台止损,55.88,False
603501,2021-12-24,2021-12-27,227.13,2022-01-06,208.87,-8.03944877382996,7,破平台止损,214.46,False
002027,2021-12-27,2021-12-28,6.57,2022-01-14,6.49,-1.21765601217656,12,破MA20,6.45,False
000408,2021-12-28,2021-12-29,31.15,2022-01-11,27.71,-11.043338683788118,8,-8%止损,27.89,False
300033,2021-12-28,2021-12-29,92.27,2022-01-07,89.9,-2.5685488241031673,6,破平台止损,91.21,False
600519,2021-12-28,2021-12-29,1858.49,2021-12-30,1764.27,-5.069707127829581,1,破平台止损,1806.63,False
300408,2021-12-30,2021-12-31,42.97,2022-01-04,42.32,-1.5126832673958535,1,破MA20,42.15,False
300498,2021-12-30,2021-12-31,17.6,2022-01-17,17.97,2.1022727272727026,10,破MA20,17.32,False
600690,2021-12-30,2021-12-31,26.23,2022-01-05,26.06,-0.6481128478841081,2,破平台止损,26.3,False
688099,2021-12-30,2021-12-31,124.44,2022-01-05,115.07,-7.529733204757316,2,破平台止损,122.88,False
600383,2022-01-04,2022-01-05,12.48,2022-01-26,11.95,-4.246794871794879,15,破MA20,11.3,False
601225,2022-06-06,2022-06-07,13.51,2022-06-21,13.61,0.7401924500370027,10,破MA20,13.09,False
000625,2022-06-08,2022-06-09,11.06,2022-07-13,15.47,39.873417721518976,24,破MA20,9.83,False
002920,2022-06-08,2022-06-09,141.79,2022-07-01,142.32,0.3737922279427375,16,破MA20,132.91,False
600025,2022-06-08,2022-06-09,6.13,2022-06-20,6.33,3.2626427406199143,7,破MA20,5.94,False
600795,2022-06-08,2022-06-09,3.28,2022-07-22,3.44,4.878048780487809,31,破MA20,2.9,False
601238,2022-06-08,2022-06-09,15.18,2022-06-30,14.82,-2.371541501976282,15,破MA20,14.18,False
002460,2022-06-10,2022-06-13,87.77,2022-07-12,97.15,10.687022900763377,21,破MA20,88.19,False
300015,2022-06-10,2022-06-13,20.82,2022-06-14,20.73,-0.4322766570605152,1,破平台止损,21.16,False
300014,2022-06-14,2022-06-15,98.47,2022-06-30,94.19,-4.346501472529707,11,破MA20,87.66,False
300896,2022-06-14,2022-06-15,361.39,2022-07-12,378.36,4.695758045325005,19,破MA20,350.71,False
600519,2022-06-14,2022-06-15,1616.46,2022-07-13,1699.42,5.132202467119518,20,破MA20,1612.65,False
600674,2022-06-14,2022-06-15,10.82,2022-06-16,10.78,-0.3696857670979714,1,破平台止损,10.86,False
600845,2022-06-14,2022-06-15,26.14,2022-07-04,26.26,0.4590665646518888,13,破MA20,25.77,False
300015,2022-06-16,2022-06-17,21.41,2022-07-13,23.43,9.434843531060256,18,破MA20,21.16,False
600438,2022-06-16,2022-06-17,47.78,2022-07-18,53.09,11.113436584344916,21,破MA20,44.97,False
688223,2022-06-16,2022-06-17,13.86,2022-06-20,14.14,2.020202020202033,1,破MA20,13.9,False
000963,2022-06-17,2022-06-20,39.02,2022-07-25,40.82,4.6130189646335085,25,破MA20,36.53,False
300496,2022-06-17,2022-06-20,126.02,2022-06-22,123.18,-2.2536105380098315,2,破平台止损,122.71,False
600887,2022-06-17,2022-06-20,32.38,2022-06-21,31.88,-1.5441630636195303,1,破平台止损,32.09,False
601669,2022-06-17,2022-06-20,7.43,2022-06-22,7.36,-0.9421265141318913,2,破平台止损,7.42,False
300124,2022-06-20,2022-06-21,64.82,2022-06-23,63.72,-1.6970070965751205,2,破平台止损,63.62,False
600309,2022-06-21,2022-06-22,86.43,2022-06-23,84.91,-1.7586486173782334,1,破平台止损,85.58,False
600674,2022-06-21,2022-06-22,10.85,2022-06-23,10.81,-0.36866359447004227,1,破平台止损,10.86,False
600025,2022-06-22,2022-06-23,6.44,2022-06-24,6.35,-1.3975155279503215,1,破平台止损,6.42,False
002240,2022-06-23,2022-06-24,57.39,2022-07-13,58.54,2.0038334204565134,13,破MA20,55.65,False
300316,2022-06-23,2022-06-24,64.04,2022-07-20,65.72,2.623360399750152,18,破MA20,60.36,False
600702,2022-06-23,2022-06-24,178.93,2022-07-08,178.31,-0.34650421952718835,10,破MA20,171.88,False
601100,2022-06-23,2022-06-24,56.23,2022-06-27,55.55,-1.2093188689311751,1,破平台止损,55.75,False
601615,2022-06-23,2022-06-24,28.57,2022-07-22,29.87,4.550227511375571,20,破MA20,26.05,False
603833,2022-06-23,2022-06-24,111.24,2022-07-11,111.85,0.5483638978784677,11,破MA20,108.73,False
688223,2022-06-23,2022-06-24,14.97,2022-06-28,14.7,-1.8036072144288706,2,破MA20,13.9,False
920185,2022-06-23,2022-06-24,53.62,2022-07-11,50.0,-6.751212234240955,11,破MA20,49.19,False
000661,2022-06-24,2022-06-27,196.27,2022-07-13,198.7,1.238090385693158,12,破MA20,196.69,False
000786,2022-06-24,2022-06-27,29.17,2022-07-12,28.74,-1.4741172437435779,11,破平台止损,28.14,False
600309,2022-06-24,2022-06-27,87.08,2022-07-12,84.68,-2.7560863573725225,11,破平台止损,85.58,False
002271,2022-06-27,2022-06-28,37.96,2022-07-06,36.83,-2.9768177028451026,6,破平台止损,37.42,False
600025,2022-06-27,2022-06-28,6.41,2022-07-18,6.54,2.028081123244929,14,破MA20,6.42,False
600763,2022-06-27,2022-06-28,112.79,2022-07-12,109.92,-2.5445518219700314,10,破平台止损,112.07,False
603659,2022-06-27,2022-06-28,58.07,2022-07-12,54.71,-5.786120199758916,10,破MA20,52.18,False
300207,2022-06-28,2022-06-29,32.24,2022-06-30,30.54,-5.272952853598023,1,破平台止损,31.64,False
600674,2022-06-28,2022-06-29,10.84,2022-06-30,10.83,-0.09225092250921829,1,破平台止损,10.86,False
601100,2022-06-28,2022-06-29,57.71,2022-07-07,53.11,-7.9708889273956025,6,破平台止损,55.75,False
603899,2022-06-28,2022-06-29,47.06,2022-07-11,45.52,-3.2724181895452564,8,破平台止损,46.31,False
000733,2022-06-30,2022-07-01,128.88,2022-07-12,124.14,-3.6778398510242005,7,破平台止损,126.59,False
600760,2022-06-30,2022-07-01,41.77,2022-07-14,40.58,-2.8489346420876305,9,破平台止损,41.09,False
601995,2022-06-30,2022-07-01,43.27,2022-07-04,42.27,-2.3110700254217686,1,破平台止损,43.07,False
600522,2022-07-01,2022-07-04,22.66,2022-07-26,22.78,0.5295675198587757,16,破MA20,19.88,False
003022,2022-07-04,2022-07-05,35.36,2022-07-13,33.37,-5.627828054298645,6,破MA20,32.82,False
300751,2022-07-04,2022-07-05,294.02,2022-07-19,283.69,-3.513366437657295,10,破MA20,270.84,False
600754,2022-07-04,2022-07-05,57.51,2022-07-06,54.37,-5.459920013910624,1,破平台止损,57.22,False
601888,2022-07-04,2022-07-05,213.39,2022-07-06,204.14,-4.3347860724495035,1,破平台止损,210.17,False
601995,2022-07-05,2022-07-06,42.91,2022-07-07,42.56,-0.8156606851549619,1,破平台止损,43.07,False
600905,2022-07-06,2022-07-07,6.14,2022-07-18,6.13,-0.16286644951140072,7,破MA20,6.07,False
002179,2022-07-07,2022-07-08,46.35,2022-07-14,45.55,-1.7259978425027023,4,破平台止损,45.87,False
601012,2022-07-07,2022-07-08,63.47,2022-07-11,59.75,-5.861036710256817,1,破MA20,60.23,False
000876,2022-07-08,2022-07-11,17.37,2022-07-18,16.73,-3.684513529073119,5,破平台止损,17.06,False
002352,2022-07-08,2022-07-11,49.65,2022-07-12,48.74,-1.8328298086606187,1,破平台止损,48.92,False
600031,2022-07-08,2022-07-11,17.93,2022-07-12,17.66,-1.5058561070831034,1,破平台止损,17.98,False
600900,2022-07-08,2022-07-11,21.35,2022-08-02,21.32,-0.1405152224824402,16,破MA20,21.13,False
000661,2022-07-14,2022-07-15,199.84,2022-07-18,195.9,-1.971577261809443,1,破平台止损,196.69,False
002920,2022-07-14,2022-07-15,162.29,2022-08-11,161.81,-0.29576683714337415,19,破MA20,144.29,False
601012,2022-07-14,2022-07-15,60.11,2022-07-18,61.1,1.6469805356845724,1,破MA20,60.23,False
603195,2022-07-14,2022-07-15,44.69,2022-07-18,43.96,-1.633475050346822,1,破MA20,43.51,False
603659,2022-07-14,2022-07-15,54.77,2022-07-18,53.07,-3.103888990323178,1,破MA20,52.18,False
000651,2022-07-18,2022-07-19,26.11,2022-07-20,26.27,0.6127920337035686,1,破平台止损,26.27,False
000768,2022-07-18,2022-07-19,30.53,2022-08-01,30.87,1.1136586963642392,9,破平台止损,30.64,False
002179,2022-07-18,2022-07-19,47.0,2022-07-25,46.21,-1.6808510638297802,4,破MA20,45.87,False
002180,2022-07-18,2022-07-19,54.34,2022-07-20,52.41,-3.5517114464483024,1,破平台止损,52.42,False
003816,2022-07-18,2022-07-19,2.67,2022-07-22,2.6,-2.621722846441943,3,破平台止损,2.63,False
300498,2022-07-18,2022-07-19,22.37,2022-07-21,21.8,-2.548055431381313,2,破MA20,21.56,False
688599,2022-07-18,2022-07-19,71.71,2022-08-22,66.54,-7.209594198856484,24,破MA20,65.97,False
603195,2022-07-19,2022-07-20,44.75,2022-07-21,44.74,-0.022346368715076004,1,破MA20,43.51,False
688385,2022-07-19,2022-07-20,61.46,2022-07-21,59.67,-2.9124633908232944,1,破MA20,57.46,False
003022,2022-07-20,2022-07-21,37.97,2022-08-23,48.16,26.83697656044246,23,破MA20,37.36,False
300751,2022-07-20,2022-07-21,282.59,2022-07-25,292.12,3.372376941859234,2,破MA20,270.84,False
600754,2022-07-20,2022-07-21,59.35,2022-08-04,58.17,-1.9882055602358895,10,破MA20,57.22,False
600875,2022-07-20,2022-07-21,16.71,2022-07-26,15.56,-6.882106523040099,3,破平台止损,15.86,False
600276,2022-07-21,2022-07-22,38.08,2022-07-26,37.89,-0.498949579831931,2,破平台止损,38.17,False
300763,2022-07-22,2022-07-25,232.91,2022-07-26,230.54,-1.0175604310677988,1,破平台止损,232.52,False
600406,2022-07-22,2022-07-25,22.59,2022-07-26,21.56,-4.559539619300579,1,破平台止损,22.69,False
000651,2022-07-25,2022-07-26,26.27,2022-07-27,26.05,-0.8374571754853455,1,破平台止损,26.27,False
300498,2022-07-25,2022-07-26,21.64,2022-07-27,21.63,-0.04621072088725198,1,破MA20,21.56,False
600196,2022-07-25,2022-07-26,50.95,2022-07-27,45.69,-10.323846908734058,1,破平台止损,46.52,False
688363,2022-07-25,2022-07-26,149.25,2022-08-11,144.26,-3.343383584589621,12,破平台止损,146.92,False
601138,2022-07-26,2022-07-27,8.78,2022-08-03,8.71,-0.7972665148063607,5,破平台止损,8.74,False
600875,2022-07-27,2022-07-28,16.05,2022-08-03,15.39,-4.112149532710285,4,破平台止损,15.86,False
000538,2022-11-29,2022-11-30,48.88,2022-12-20,48.5,-0.77741407528642,14,破MA20,47.86,False
000938,2022-11-29,2022-11-30,18.81,2022-12-20,19.21,2.126528442317932,14,破MA20,18.39,False
002415,2022-11-29,2022-11-30,28.41,2022-12-01,28.96,1.9359380499823997,1,破平台止损,28.58,False
300124,2022-11-29,2022-11-30,67.89,2022-12-02,68.34,0.6628369421122438,2,破MA20,65.73,False
300142,2022-11-29,2022-11-30,43.76,2022-12-01,41.66,-4.798903107861063,1,破平台止损,43.98,False
601100,2022-11-29,2022-11-30,62.49,2022-12-02,59.83,-4.256681068971046,2,破平台止损,62.23,False
002352,2022-11-30,2022-12-01,50.46,2022-12-30,52.43,3.9040824415378594,21,破MA20,47.25,False
600547,2022-11-30,2022-12-01,20.61,2022-12-13,19.04,-7.617661329451719,8,破平台止损,19.68,False
601766,2022-11-30,2022-12-01,4.87,2022-12-02,4.79,-1.642710472279263,1,破平台止损,4.87,False
002142,2022-12-05,2022-12-06,29.77,2022-12-08,28.65,-3.762176687940888,2,破平台止损,29.27,False
002271,2022-12-05,2022-12-06,26.8,2022-12-09,25.99,-3.0223880597014974,3,破平台止损,25.68,False
601100,2022-12-05,2022-12-06,61.38,2022-12-07,61.62,0.3910068426197455,1,破平台止损,62.23,False
601899,2022-12-05,2022-12-06,9.52,2022-12-20,9.27,-2.626050420168069,10,破MA20,9.19,False
300033,2022-12-06,2022-12-07,71.12,2022-12-20,66.4,-6.636670416197976,9,破平台止损,67.79,False
000001,2022-12-08,2022-12-09,10.98,2022-12-21,10.53,-4.098360655737709,8,破平台止损,10.66,False
000063,2022-12-08,2022-12-09,25.21,2022-12-12,24.89,-1.2693375644585503,1,破平台止损,25.29,False
000858,2022-12-08,2022-12-09,153.66,2023-01-04,156.63,1.93283873486918,17,破MA20,150.32,False
600000,2022-12-08,2022-12-09,6.6,2022-12-12,6.55,-0.7575757575757569,1,破平台止损,6.58,False
600426,2022-12-08,2022-12-09,29.52,2022-12-21,28.85,-2.269647696476962,8,破MA20,28.39,False
600600,2022-12-08,2022-12-09,101.07,2022-12-16,98.02,-3.0177104976748748,5,破平台止损,98.95,False
600999,2022-12-08,2022-12-09,12.86,2022-12-13,12.69,-1.3219284603421477,2,破平台止损,12.87,False
601318,2022-12-08,2022-12-09,39.31,2022-12-21,37.67,-4.1719664207580776,8,破平台止损,37.54,False
601319,2022-12-08,2022-12-09,5.0,2022-12-12,4.91,-1.8000000000000016,1,破平台止损,5.0,False
601628,2022-12-08,2022-12-09,34.26,2022-12-13,33.73,-1.5469935785172195,2,破平台止损,34.4,False
601668,2022-12-08,2022-12-09,5.2,2022-12-13,5.0,-3.8461538461538547,2,破平台止损,5.12,False
688036,2022-12-08,2022-12-09,51.1,2022-12-13,50.62,-0.9393346379647838,2,破平台止损,50.43,False
002142,2022-12-09,2022-12-12,29.66,2022-12-13,28.73,-3.1355360755225936,1,破平台止损,29.27,False
